name,latitude,longitude
Tasciri Spettacolo,41.0140444,28.9756133
Paşa Kapısı,41.0111434,28.9779823
Cevri Kalfa Çeşmesi,41.0080019,28.9767691
Hacı Beşir Ağa Çeşmesi,41.0082515,28.9779961
Molla Hüsrev cami Turbası,41.0147778,28.959381
Hacı Beşir Ağa Çeşmesi,41.0036705,28.9287438
Beyazıt Türk Hamam Kültürü Müzesi,41.0099458,28.9615545
Abdullah El Ensari Türbesi,41.0332977,28.944349
Ebuzer Gifari Türbesi,41.0376062,28.9428599
İvaz Efendi Çeşmesi,41.0378888,28.9411463
Ebu Şeybe El-Hudri Türbesi,41.039341,28.9414828
Türk ve İslam Eserleri Müzesi,41.0062801,28.974915
Molla Gorani Hazretlerinin Kabri,41.0112305,28.9411363
Sahabe-i Kiramdan Abdurrahman Şami Türbesi,41.0066904,28.9791454
İslam bilim ve teknoloji tarihi müzesi,41.0132188,28.9789678
Tarihi Hacı Kadın Hamamı,40.9997863,28.9274893
Şeyh Seyyid Seyfullah Hz.,41.0071684,28.9269866
Dumankaya Adres Lobi,40.8623461,29.3343936
Cumhuriyet Meydanı,40.9812405,28.8738949
Abdulmecit Efendi Köşkü,41.0282408,29.0415462
Marmara Üniversitesi Cumhuriyet Müzesi ve Sanat Galerisi,41.0051858,28.9743891
İstanbul Cumhuriyet Eğitim Müzesi,41.0049596,28.9739331
Mehmet Efendi Çeşmesi,41.0031805,28.9720795
Pera Spa,41.0105966,28.9731818
Türkiye Gazeteciler Cemiyeti Basın Müzesi,41.0085619,28.9722162
Karababa Türbesi,41.0083008,28.9692078
Merzifonlu Kara Mustafa Paşa Medresesi,41.008669,28.9679366
Yahya Kemal Museum,41.008741,28.967614
Çorlulu Alipaşa Madresesi,41.0089122,28.9683181
Fatih Sultan Mehmet Heykeli,41.0353157,28.9184913
Cow Statue,41.1081763,29.0342498
Walkway Monuments,41.1063201,29.0280643
Balerin Heykeli,41.1046962,29.0235944
صرافی,41.0357451,28.981708
Aycan turizm,40.9675965,29.2660832
Sarayburnu Atatürk Anıtı,41.016263,28.9861325
Cezayirli Gazi Hasan Paşa Anıtı,41.0305744,28.9670993
Labirent-maze,41.0595777,28.9495675
Kristal Istanbul,41.0606675,28.9478424
Nice Ajax Füzesi,40.9644738,28.825573
Mavi Isik G,40.9647099,28.8251255
Birinci dünya savasi (1914 - 1918),40.9637619,28.8264748
Dornier Do 28 D-1,40.9632247,28.8265234
500. Yıl Vakfı Türk Musevileri Müzesi,41.0267866,28.9727283
Buharizade Mustafa Efendi (Itri),41.0345631,28.9332608
Surp Kevork Kilisesi,41.0018646,28.9331468
Çiçek Pasajı,41.0340997,28.9779211
İstanbul Modern Sanat Müzesi,41.025911,28.982812
Pireci Studio,41.0526945,29.2379176
belgradkapı tesisleri,41.0019893,28.9185699
Fransiz Gecidi,41.0245125,28.9793708
Eğrikapı,41.0364729,28.9393976
Borusan Holding,41.0892526,29.0565723
Charlie Chaplin Köşesi,41.0250792,28.9788924
Fransız Geçidi,41.024615,28.9792854
Şehit Uğur Taşçı Anıtı,41.1325992,29.0401268
Saray Koleksiyonları Müzesi,41.04121,29.004119
Sabanci Universitesi Kasa Galerisi,41.0238431,28.9750813
Selamiali efendi mezarı,41.0236472,29.0296013
Atatürk Büstü,41.0166351,29.0456912
mezarlık,41.0562805,29.0577323
Melantias,41.0584379,28.7383917
Tarihi Hamam,41.1761776,29.6118871
Surp Boğos,41.1622847,29.046941
Prison of Anemas,41.038414,28.9407981
1453,41.025896,29.0099698
Canfeda Tekkesi Haziresi,41.0320931,28.9896659
Spradon,41.0686511,28.7086192
Atatürk,40.9693576,29.1514184
Zosia Teyze'nin Anı Evi,41.1100143,29.2099873
