Mekan_Adi,Enlem,Boylam,Kategori
İSTİNYE SOSYAL TESİSİ,41.1147873,29.0549822,İBB Sosyal Tesis
KASIMPAŞA SOSYAL TESİSİ,41.0299569,28.9667688,İBB Sosyal Tesis
KÜÇÜK ÇAMLICA SOSYAL TESİSİ,41.016344,29.064013,İBB Sosyal Tesis
KÜÇÜKÇEKMECE SOSYAL TESİSİ,40.9998227,28.765311,İBB Sosyal Tesis
SAFA TEPESİ SOSYAL TESİSİ,41.0137496,29.2547994,İBB Sosyal Tesis
SULTANBEYLİ SOSYAL TESİSİ,40.954071,29.276533,İBB Sosyal Tesis
YAKUPLU SOSYAL TESİSİ,41.0036611,28.6677748,İBB Sosyal Tesis
BEYKOZ KIR BAHÇESİ SOSYAL TESİSİ,41.134419,29.1006,İBB Sosyal Tesis
PEMBE KÖŞK SOSYAL TESİSİ,41.109894,29.05697,İBB Sosyal Tesis
KIR KAHVESİ SOSYAL TESİSİ,41.0479649,29.0131607,İBB Sosyal Tesis
PAŞALİMANI SOSYAL TESİSİ,41.032235,29.022992,İBB Sosyal Tesis
FLORYA YERLEŞİM BİRİMLERİ,40.971945,28.788689,İBB Sosyal Tesis
ZEYTİNBURNU SOSYAL TESİSİ,40.9850535,28.906515,İBB Sosyal Tesis
1453 ÇIRPICI SOSYAL TESİSİ,41.0003203,28.8892505,İBB Sosyal Tesis
DENİZKÖŞK SOSYAL TESİSİ,40.974184,28.743431,İBB Sosyal Tesis
GÜNGÖREN SOSYAL TESİSİ,41.0363577,28.871629,İBB Sosyal Tesis
Ayasofya Camii,41.008583,28.980175,Turistik Yer
Topkapı Sarayı Müzesi,41.01152,28.983379,Turistik Yer
Sultan Ahmet Camii,41.00541,28.976814,Turistik Yer
Sultanahmet Meydanı,41.006329,28.975705,Turistik Yer
Dolmabahçe Sarayı,41.039164,29.000459,Turistik Yer
Galata Kulesi,41.025569,28.974129,Turistik Yer
İstanbul Boğazı,41.221313,29.129016,Turistik Yer
Kız Kulesi,41.021141,29.004131,Turistik Yer
Kapalı Çarşı (Grand Bazaar),41.010685,28.968068,Turistik Yer
Eminönü,41.014936,28.965977,Turistik Yer
Mısır Çarşısı,41.0165,28.970519,Turistik Yer
Taksim Meydanı,41.037002,28.985092,Turistik Yer
Aya İrini Müzesi,41.00961,28.981183,Turistik Yer
Rahmi M. Koç Müzesi,41.042539,28.949184,Turistik Yer
Süleymaniye Camii,41.016047,28.963971,Turistik Yer
Gülhane Parkı,41.013308,28.98151,Turistik Yer
Ortaköy Camii,41.047215,29.026948,Turistik Yer
Fatih Camii,41.019653,28.949919,Turistik Yer
Yeni Camii,41.016986,28.971959,Turistik Yer
Ahrida Sinagogu,41.032883,28.94573,Turistik Yer
Eyüp Sultan Camii,41.047849,28.933759,Turistik Yer
Pierre Loti Tepesi,41.054328,28.933408,Turistik Yer
Miniatürk,41.058993,28.949219,Turistik Yer
İstanbul Oyuncak Müzesi,40.975973,29.070712,Turistik Yer
Pera Müzesi,41.031854,28.975058,Turistik Yer
Sakıp Sabancı Müzesi,41.105556,29.056944,Turistik Yer
Emirgan Korusu,41.10865,29.053112,Turistik Yer
Atatürk Arboretumu,41.176626,28.985378,Turistik Yer
Belgrad Ormanı,41.184012,28.988502,Turistik Yer
Maçka Demokrasi Parkı,41.044794,28.993057,Turistik Yer
Polonezköy Tabiat Parkı,41.110617,29.204458,Turistik Yer
Fenerbahçe Parkı,40.969042,29.036065,Turistik Yer
Nezahat Gökyiğit Botanik Bahçesi,40.998714,29.120176,Turistik Yer
Nişantaşı,41.049464,28.992018,Turistik Yer
Bebek,41.077744,29.041629,Turistik Yer
Balat,41.029211,28.948498,Turistik Yer
Rumeli Hisarı,41.084822,29.056698,Turistik Yer
Beylerbeyi Sarayı,41.042645,29.039905,Turistik Yer
Garipçe,41.210072,29.106903,Turistik Yer
Çamlıca Tepesi,41.028244,29.069162,Turistik Yer
Anadolu Kavağı,41.173816,29.088682,Turistik Yer
Mihrabat Korusu,41.096771,29.068753,Turistik Yer
Büyükada,40.85604,29.11871,Turistik Yer
Heybeliada,40.873336,29.089627,Turistik Yer
Kınalıada,40.908056,29.052222,Turistik Yer
Burgazada,40.88,29.066944,Turistik Yer
Küçüksu Kasrı,41.078418,29.064879,Turistik Yer
Adile Sultan Sarayı,41.070951,29.057289,Turistik Yer
Caddebostan Sahili,40.962217,29.062227,Turistik Yer
Moda Sahili,40.980008,29.022831,Turistik Yer
Kadıköy Boğa Heykeli,40.990468,29.029171,Turistik Yer
Bağdat Caddesi,40.95884,29.083769,Turistik Yer
Kanlıca,41.099008,29.073629,Turistik Yer
Gözdağı Korusu,40.890641,29.253609,Turistik Yer
Çubuklu Korusu,41.101984,29.08381,Turistik Yer
Otağtepe Parkı,41.090137,29.071269,Turistik Yer
Haydarpaşa Garı,40.996825,29.019294,Turistik Yer
Çinili Camii,41.019924,29.02919,Turistik Yer
Cağaloğlu Hamamı,41.010594,28.975337,Turistik Yer
Kılıç Ali Paşa Hamamı,41.026191,28.980632,Turistik Yer
Yedikule Zindanları,40.993485,28.92274,Turistik Yer
Panorama 1453 Tarih Müzesi,41.018277,28.920391,Turistik Yer
Anadolu Hisarı,41.085932,29.07072,Turistik Yer
Tarihi Çınaraltı Çay Bahçesi,41.050281,29.052401,Turistik Yer
Deniz Müzesi,41.041464,29.005435,Turistik Yer
Florya Atatürk Deniz Köşkü,40.973797,28.783353,Turistik Yer
Çamlıca Kulesi,41.016699,29.065992,Turistik Yer
Ağva,41.138653,29.856061,Turistik Yer
Şile,41.10273,29.653418,Turistik Yer
Dragos Tepesi,40.901348,29.14666,Turistik Yer
Selimiye Kışlası,41.008215,29.015883,Turistik Yer
Göztepe 60. Yıl Parkı,40.969968,29.05786,Turistik Yer
İsfanbul,41.074267,28.924014,Turistik Yer
Mihrimah Sultan Cami,41.026779,29.015982,Turistik Yer
Galatasaray Hamamı,41.032831,28.97989,Turistik Yer
İstanbul Arkeoloji Müzeleri,41.011686,28.981331,Turistik Yer
Boğaz Turu,41.079257,29.046922,Turistik Yer
Beşiktaş İskelesi,41.041212,29.007308,Turistik Yer
Fişekhane,40.983048,28.9051,Turistik Yer
Kanlıca İskelesi,41.100224,29.065385,Turistik Yer
Arasta Çarşısı,41.005329,28.978202,Turistik Yer
Galataport,41.027352,28.985484,Turistik Yer
Çemberlitaş,41.00918,28.970169,Turistik Yer
Kumkapı,41.00426,28.964697,Turistik Yer
Kanlıca Yoğurtçu Parkı,41.099008,29.073629,Turistik Yer
Asmalımescit,41.030909,28.97506,Turistik Yer
Vefa Bozacısı,41.015318,28.95842,Turistik Yer
Ayasofya Hürrem Sultan Hamamı,41.007258,28.979137,Turistik Yer
Arnavutköy,41.186394,28.738889,Turistik Yer
Yeşilköy Rum Ortodoks Kilisesi,40.977648,28.818895,Turistik Yer
Turkcell Platinum Park,41.115306,28.993554,Turistik Yer
