Mekan_Adi,Enlem,Boylam,Kategori
ISTANBUL'74,41.0332891,28.9795904,Turistik Yer
Bomontiada,41.0583185,28.9808053,Turistik Yer
Selimiye Hamami,41.0103358,29.0166858,Turistik Yer
Meşher,41.0304385,28.9757547,Turistik Yer
AK Bank Sanat Galerisi,41.0359382,28.9831097,Turistik Yer
Dogançay Müzesi,41.0357703,28.9783705,Turistik Yer
Türvak Türker Inanoglu Vakfi,41.0326418,28.9777224,Turistik Yer
Laleli,41.0086939,28.9557286,Turistik Yer
Terrace Fulya,41.0074547,29.0435884,Turistik Yer
Turkuazoo,41.0455958,28.896211,Turistik Yer
Ayios Polieuktos Kilisesi,41.0142319,28.9529591,Turistik Yer
M.K. Atatürk & Salvador Allende,40.9904492,29.1259111,Turistik Yer
Altınkapı,40.9919043,28.9220657,Turistik Yer
Imrahor ilyasbey mezarlığı,40.9962681,28.9281396,Turistik Yer
Şeyh Ahmet Buhara Türbesi,41.0231601,28.9602598,Turistik Yer
Rezan Has Museum,41.0252799,28.9584325,Turistik Yer
Seyyit Velayet Türbesi,41.0238481,28.954732,Turistik Yer
Panayia Belgradu Kilisesi,41.0001135,28.9219792,Turistik Yer
Hamidiye Kültür Ve Eğitim Vakfı Topkapı Nusret,41.0196249,28.9277844,Turistik Yer
Lions Rug and kilims Art Gallery,41.0128714,28.9778917,Turistik Yer
II. Abdülhamit Çeşmesi,41.0147801,28.9790412,Turistik Yer
İstanbul Demiryolu Müzesi,41.0151993,28.9766829,Turistik Yer
Sultan Spa and Wellness Center,41.0123762,28.977568,Turistik Yer
Hodjapasta,41.0142713,28.9756894,Turistik Yer
Tasciri Spettacolo,41.0140444,28.9756133,Turistik Yer
Paşa Kapısı,41.0111434,28.9779823,Turistik Yer
Cevri Kalfa Çeşmesi,41.0080019,28.9767691,Turistik Yer
Hacı Beşir Ağa Çeşmesi,41.0082515,28.9779961,Turistik Yer
Molla Hüsrev cami Turbası,41.0147778,28.959381,Turistik Yer
